UNIV_FISCAL_YR,FIN_COA_CD,FIN_OBJECT_CD,FIN_OBJ_CD_NM,FIN_OBJ_CD_SHRT_NM,FIN_OBJ_ACTIVE_CD,OBJ_ID,VER_NBR
2010,BL,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,50ed30cc-f0f6-11e0-b437-123139104432,1
2010,BL,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,5105f3c8-f0f6-11e0-b437-123139104432,1
2010,BL,3500,STUDENT REG HOURS,STUDENT,Y,511eb886-f0f6-11e0-b437-123139104432,1
2010,BL,3800,STUDENT WORK STUDY HOURS,STU WRKSTUDY,Y,513783fc-f0f6-11e0-b437-123139104432,1
2010,BL,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,515509d6-f0f6-11e0-b437-123139104432,1
2010,BL,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,516e1782-f0f6-11e0-b437-123139104432,1
2010,EA,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,518d2406-f0f6-11e0-b437-123139104432,1
2010,EA,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,51a67d7a-f0f6-11e0-b437-123139104432,1
2010,EA,3000,NON STUDENT REG HOURS,HRLY REGULAR,Y,51c427c6-f0f6-11e0-b437-123139104432,1
2010,EA,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,51dd0e26-f0f6-11e0-b437-123139104432,1
2010,EA,3200,OVERTIME - STAFF,O T - STAFF,Y,51f9167a-f0f6-11e0-b437-123139104432,1
2010,EA,3250,OVERTIME - HOURLY,O T - HRLY,Y,5211df7a-f0f6-11e0-b437-123139104432,1
2010,EA,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,522caae4-f0f6-11e0-b437-123139104432,1
2010,EA,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,524583ac-f0f6-11e0-b437-123139104432,1
2010,EA,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,5263d492-f0f6-11e0-b437-123139104432,1
2010,EA,3500,STUDENT REG HOURS,STUDENT,Y,527c8db6-f0f6-11e0-b437-123139104432,1
2010,EA,3800,STUDENT WORK STUDY HOURS,STU WRKSTUDY,Y,5297be42-f0f6-11e0-b437-123139104432,1
2010,EA,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,52b364b2-f0f6-11e0-b437-123139104432,1
2010,EA,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,52d11e4e-f0f6-11e0-b437-123139104432,1
2010,FW,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,52ea22a4-f0f6-11e0-b437-123139104432,1
2010,FW,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,53031110-f0f6-11e0-b437-123139104432,1
2010,FW,3000,NON STUDENT REG HOURS,HRLY REGULAR,Y,531c23da-f0f6-11e0-b437-123139104432,1
2010,FW,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,53354a5e-f0f6-11e0-b437-123139104432,1
2010,FW,3200,OVERTIME - STAFF,O T - STAFF,Y,534e2c22-f0f6-11e0-b437-123139104432,1
2010,FW,3250,OVERTIME - HOURLY,O T - HRLY,Y,536ea164-f0f6-11e0-b437-123139104432,1
2010,FW,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,5387d9c2-f0f6-11e0-b437-123139104432,1
2010,FW,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,53a51712-f0f6-11e0-b437-123139104432,1
2010,FW,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,53bea182-f0f6-11e0-b437-123139104432,1
2010,FW,3500,STUDENT REG HOURS,STUDENT,Y,53d969b8-f0f6-11e0-b437-123139104432,1
2010,FW,3800,STUDENT WORK STUDY HOURS,STU WRKSTUDY,Y,53f21a08-f0f6-11e0-b437-123139104432,1
2010,FW,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,540e9f16-f0f6-11e0-b437-123139104432,1
2010,FW,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,54278c4c-f0f6-11e0-b437-123139104432,1
2010,HO,3000,NON STUDENT REG HOURS,NON STU REG,Y,54462e2c-f0f6-11e0-b437-123139104432,1
2010,IA,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,545fe3ee-f0f6-11e0-b437-123139104432,1
2010,IA,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,547aeae0-f0f6-11e0-b437-123139104432,1
2010,IA,3000,NON STUDENT REG HOURS,NON STU REG,Y,5493d76c-f0f6-11e0-b437-123139104432,1
2010,IA,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,54b01e5e-f0f6-11e0-b437-123139104432,1
2010,IA,3200,OVERTIME - STAFF,O T - STAFF,Y,54c92cd2-f0f6-11e0-b437-123139104432,1
2010,IA,3250,OVERTIME - HOURLY,O T - HRLY,Y,54e7d16e-f0f6-11e0-b437-123139104432,1
2010,IA,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,5503829c-f0f6-11e0-b437-123139104432,1
2010,IA,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,551c7784-f0f6-11e0-b437-123139104432,1
2010,IA,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,5539165a-f0f6-11e0-b437-123139104432,1
2010,IA,3500,STUDENT REG HOURS,STU REG HOUR,Y,55521754-f0f6-11e0-b437-123139104432,1
2010,IA,3800,STUDENT WORK STUDY HOURS,STU WORK STU,Y,556bbbb4-f0f6-11e0-b437-123139104432,1
2010,IA,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,558489be-f0f6-11e0-b437-123139104432,1
2010,IA,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,559d7a46-f0f6-11e0-b437-123139104432,1
2010,IN,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,55ba2c18-f0f6-11e0-b437-123139104432,1
2010,IN,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,55d3f5e4-f0f6-11e0-b437-123139104432,1
2010,IN,3000,NON STUDENT REG HOURS,HRLY REGULAR,Y,55ef0c4e-f0f6-11e0-b437-123139104432,1
2010,IN,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,5607edfe-f0f6-11e0-b437-123139104432,1
2010,IN,3200,OVERTIME - STAFF,O T - STAFF,Y,56261cc0-f0f6-11e0-b437-123139104432,1
2010,IN,3250,OVERTIME - HOURLY,O T - HRLY,Y,563eec82-f0f6-11e0-b437-123139104432,1
2010,IN,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,565be9e0-f0f6-11e0-b437-123139104432,1
2010,IN,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,5674c0e6-f0f6-11e0-b437-123139104432,1
2010,IN,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,568fa7a8-f0f6-11e0-b437-123139104432,1
2010,IN,3500,STUDENT REG HOURS,STUD HOURLY,Y,56a88098-f0f6-11e0-b437-123139104432,1
2010,IN,3800,STUDENT WORK STUDY HOURS,STU WRKSTUDY,Y,56c9c99c-f0f6-11e0-b437-123139104432,1
2010,IN,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,56e2a46c-f0f6-11e0-b437-123139104432,1
2010,IN,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,56fd06fe-f0f6-11e0-b437-123139104432,1
2010,IU,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,5715efca-f0f6-11e0-b437-123139104432,1
2010,IU,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,5733a5f6-f0f6-11e0-b437-123139104432,1
2010,IU,3300,BOND INTEREST,BOND INT,Y,574c9f8e-f0f6-11e0-b437-123139104432,1
2010,KO,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,57669f24-f0f6-11e0-b437-123139104432,1
2010,KO,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,57801274-f0f6-11e0-b437-123139104432,1
2010,KO,3000,NON STUDENT REG HOURS,HRLY REGULAR,Y,579c9f52-f0f6-11e0-b437-123139104432,1
2010,KO,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,57b57de2-f0f6-11e0-b437-123139104432,1
2010,KO,3200,OVERTIME - STAFF,O T - STAFF,Y,57d08218-f0f6-11e0-b437-123139104432,1
2010,KO,3250,OVERTIME - HOURLY,O T - HRLY,Y,57e95464-f0f6-11e0-b437-123139104432,1
2010,KO,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,5806e81c-f0f6-11e0-b437-123139104432,1
2010,KO,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,5820284a-f0f6-11e0-b437-123139104432,1
2010,KO,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,583e0fea-f0f6-11e0-b437-123139104432,1
2010,KO,3500,STUDENT REG HOURS,STUDENT,Y,5856e4c0-f0f6-11e0-b437-123139104432,1
2010,KO,3800,STUDENT WORK STUDY HOURS,STU WRKSTUDY,Y,58737162-f0f6-11e0-b437-123139104432,1
2010,KO,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,588da708-f0f6-11e0-b437-123139104432,1
2010,KO,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,58a6e6fa-f0f6-11e0-b437-123139104432,1
2010,NW,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,58bff9b0-f0f6-11e0-b437-123139104432,1
2010,NW,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,58ddc878-f0f6-11e0-b437-123139104432,1
2010,NW,3000,NON STUDENT REG HOURS,HRLY REGULAR,Y,58f69b00-f0f6-11e0-b437-123139104432,1
2010,NW,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,59113ea6-f0f6-11e0-b437-123139104432,1
2010,NW,3200,OVERTIME - STAFF,O T - STAFF,Y,592a2088-f0f6-11e0-b437-123139104432,1
2010,NW,3250,OVERTIME - HOURLY,O T - HRLY,Y,5947d3a8-f0f6-11e0-b437-123139104432,1
2010,NW,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,5960bd82-f0f6-11e0-b437-123139104432,1
2010,NW,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,597ef8ba-f0f6-11e0-b437-123139104432,1
2010,NW,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,5997cda4-f0f6-11e0-b437-123139104432,1
2010,NW,3500,STUDENT REG HOURS,STUDENT,Y,59b1e07c-f0f6-11e0-b437-123139104432,1
2010,NW,3800,STUDENT WORK STUDY HOURS,STU WRKSTUDY,Y,59caab5c-f0f6-11e0-b437-123139104432,1
2010,NW,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,59e740aa-f0f6-11e0-b437-123139104432,1
2010,NW,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,5a0229ce-f0f6-11e0-b437-123139104432,1
2010,SB,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,5a1fa62a-f0f6-11e0-b437-123139104432,1
2010,SB,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,5a38d5f0-f0f6-11e0-b437-123139104432,1
2010,SB,3000,NON STUDENT REG HOURS,HRLY REGULAR,Y,5a51ce3e-f0f6-11e0-b437-123139104432,1
2010,SB,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,5a6bfbc4-f0f6-11e0-b437-123139104432,1
2010,SB,3200,OVERTIME - STAFF,O T - STAFF,Y,5a88ffb2-f0f6-11e0-b437-123139104432,1
2010,SB,3250,OVERTIME - HOURLY,O T - HRLY,Y,5aa1d1cc-f0f6-11e0-b437-123139104432,1
2010,SB,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,5abe19a4-f0f6-11e0-b437-123139104432,1
2010,SB,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,5ad950c0-f0f6-11e0-b437-123139104432,1
2010,SB,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,5af23b44-f0f6-11e0-b437-123139104432,1
2010,SB,3500,STUDENT REG HOURS,STUDENT,Y,5b0b9684-f0f6-11e0-b437-123139104432,1
2010,SB,3800,STUDENT WORK STUDY HOURS,STU WRKSTUDY,Y,5b281e58-f0f6-11e0-b437-123139104432,1
2010,SB,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,5b40f78e-f0f6-11e0-b437-123139104432,1
2010,SB,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,5b5eaafe-f0f6-11e0-b437-123139104432,1
2010,SE,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,5b77956e-f0f6-11e0-b437-123139104432,1
2010,SE,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,5b913898-f0f6-11e0-b437-123139104432,1
2010,SE,3000,NON STUDENT REG HOURS,HRLY REGULAR,Y,5baa2cfe-f0f6-11e0-b437-123139104432,1
2010,SE,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,5bc6f1c2-f0f6-11e0-b437-123139104432,1
2010,SE,3200,OVERTIME - STAFF,O T - STAFF,Y,5bdfcb52-f0f6-11e0-b437-123139104432,1
2010,SE,3250,OVERTIME - HOURLY,O T - HRLY,Y,5c000688-f0f6-11e0-b437-123139104432,1
2010,SE,3300,COMMUNITY SERVICE WORK STUDY,COMM WV WSTY,Y,5c18fe86-f0f6-11e0-b437-123139104432,1
2010,SE,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,5c329292-f0f6-11e0-b437-123139104432,1
2010,SE,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,5c4f3618-f0f6-11e0-b437-123139104432,1
2010,SE,3500,STUDENT REG HOURS,STUDENT,Y,5c68de56-f0f6-11e0-b437-123139104432,1
2010,SE,3800,STUDENT WORK STUDY HOURS,STU WRKSTUDY,Y,5c83d53a-f0f6-11e0-b437-123139104432,1
2010,SE,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,5c9fc90c-f0f6-11e0-b437-123139104432,1
2010,SE,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,5cb898c4-f0f6-11e0-b437-123139104432,1
2010,UA,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,5cd38288-f0f6-11e0-b437-123139104432,1
2010,UA,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,5cec74a0-f0f6-11e0-b437-123139104432,1
2010,UA,3000,NON STUDENT REG HOURS,HRLY REGULAR,Y,5d08ea22-f0f6-11e0-b437-123139104432,1
2010,UA,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,5d241f7c-f0f6-11e0-b437-123139104432,1
2010,UA,3200,OVERTIME - STAFF,O T - STAFF,Y,5d3d841c-f0f6-11e0-b437-123139104432,1
2010,UA,3250,OVERTIME - HOURLY,O T - HRLY,Y,5d566856-f0f6-11e0-b437-123139104432,1
2010,UA,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,5d73480e-f0f6-11e0-b437-123139104432,1
2010,UA,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,5d8c31ac-f0f6-11e0-b437-123139104432,1
2010,UA,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,5da847f2-f0f6-11e0-b437-123139104432,1
2010,UA,3500,STUDENT REG HOURS,STUDENT,Y,5dc11c32-f0f6-11e0-b437-123139104432,1
2010,UA,3800,STUDENT WORK STUDY HOURS,STU WRKSTUDY,Y,5dddcd64-f0f6-11e0-b437-123139104432,1
2010,UA,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,5df6a06e-f0f6-11e0-b437-123139104432,1
2010,UA,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,5e1422f6-f0f6-11e0-b437-123139104432,1
2011,BA,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,c6bb7080-f0f5-11e0-b437-123139104432,1
2011,BA,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,c6d50d1a-f0f5-11e0-b437-123139104432,1
2011,BA,3000,NON STUDENT REG HOURS,HRLY REGULAR,Y,c6ef0742-f0f5-11e0-b437-123139104432,1
2011,BA,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,c707dd6c-f0f5-11e0-b437-123139104432,1
2011,BA,3200,OVERTIME - STAFF,O T - STAFF,Y,c7282770-f0f5-11e0-b437-123139104432,1
2011,BA,3250,OVERTIME - HOURLY,O T - HRLY,Y,c7412f5e-f0f5-11e0-b437-123139104432,1
2011,BA,3300,COMMUNITY SERVICE WORK STUDY,SUM ST WSTY,Y,c75a227a-f0f5-11e0-b437-123139104432,1
2011,BA,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,c77442e0-f0f5-11e0-b437-123139104432,1
2011,BA,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,c790ce9c-f0f5-11e0-b437-123139104432,1
2011,BA,3500,STUDENT REG HOURS,STUDENT,Y,c7a9c654-f0f5-11e0-b437-123139104432,1
2011,BA,3800,STUDENT WORK STUDY,STU WRKSTDY,Y,c7c5eba4-f0f5-11e0-b437-123139104432,1
2011,BA,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,c7decc32-f0f5-11e0-b437-123139104432,1
2011,BA,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,c7faa4fc-f0f5-11e0-b437-123139104432,1
2011,BL,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,c8138cc4-f0f5-11e0-b437-123139104432,1
2011,BL,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,c82f8d0c-f0f5-11e0-b437-123139104432,1
2011,BL,3000,HOURLY STAFF-NON-STUDENT REGULAR HOURS,HR ST NS REG,Y,c8486296-f0f5-11e0-b437-123139104432,1
2011,BL,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,c8648764-f0f5-11e0-b437-123139104432,1
2011,BL,3200,OVERTIME - STAFF,O T - STAFF,Y,c87d6e46-f0f5-11e0-b437-123139104432,1
2011,BL,3250,OVERTIME - HOURLY,O T - HRLY,Y,c89aaf38-f0f5-11e0-b437-123139104432,1
2011,BL,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,c8b3a1a0-f0f5-11e0-b437-123139104432,1
2011,BL,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,c8cfe202-f0f5-11e0-b437-123139104432,1
2011,BL,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,c8e9dd42-f0f5-11e0-b437-123139104432,1
2011,BL,3500,STUDENT REG HOURS,STUDENT,Y,c905910e-f0f5-11e0-b437-123139104432,1
2011,BL,3800,STUDENT WORK STUDY HOURS,STU WRKSTUDY,Y,c91e811e-f0f5-11e0-b437-123139104432,1
2011,BL,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,c93ae886-f0f5-11e0-b437-123139104432,1
2011,BL,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,c953cdce-f0f5-11e0-b437-123139104432,1
2011,EA,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,c96fa2a6-f0f5-11e0-b437-123139104432,1
2011,EA,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,c988968a-f0f5-11e0-b437-123139104432,1
2011,EA,3000,NON STUDENT REG HOURS,HRLY REGULAR,Y,c9a6cd44-f0f5-11e0-b437-123139104432,1
2011,EA,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,c9bfac2e-f0f5-11e0-b437-123139104432,1
2011,EA,3200,OVERTIME - STAFF,O T - STAFF,Y,c9daaf2e-f0f5-11e0-b437-123139104432,1
2011,EA,3250,OVERTIME - HOURLY,O T - HRLY,Y,c9f3b848-f0f5-11e0-b437-123139104432,1
2011,EA,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,ca0f9b44-f0f5-11e0-b437-123139104432,1
2011,EA,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,ca287998-f0f5-11e0-b437-123139104432,1
2011,EA,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,ca45f86a-f0f5-11e0-b437-123139104432,1
2011,EA,3500,STUDENT REG HOURS,STUDENT,Y,ca5ece58-f0f5-11e0-b437-123139104432,1
2011,EA,3800,STUDENT WORK STUDY HOURS,STU WRKSTUDY,Y,ca786638-f0f5-11e0-b437-123139104432,1
2011,EA,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,ca916a66-f0f5-11e0-b437-123139104432,1
2011,EA,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,cab21572-f0f5-11e0-b437-123139104432,1
2011,FW,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,cacaefca-f0f5-11e0-b437-123139104432,1
2011,FW,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,cae85e7a-f0f5-11e0-b437-123139104432,1
2011,FW,3000,NON STUDENT REG HOURS,HRLY REGULAR,Y,cb043dc0-f0f5-11e0-b437-123139104432,1
2011,FW,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,cb1dc7c2-f0f5-11e0-b437-123139104432,1
2011,FW,3200,OVERTIME - STAFF,O T - STAFF,Y,cb36c63c-f0f5-11e0-b437-123139104432,1
2011,FW,3250,OVERTIME - HOURLY,O T - HRLY,Y,cb517630-f0f5-11e0-b437-123139104432,1
2011,FW,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,cb6a547a-f0f5-11e0-b437-123139104432,1
2011,FW,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,cb87d8ba-f0f5-11e0-b437-123139104432,1
2011,FW,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,cba0e0d0-f0f5-11e0-b437-123139104432,1
2011,FW,3500,STUDENT REG HOURS,STUDENT,Y,cbbc05f4-f0f5-11e0-b437-123139104432,1
2011,FW,3800,STUDENT WORK STUDY HOURS,STU WRKSTUDY,Y,cbd4ea92-f0f5-11e0-b437-123139104432,1
2011,FW,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,cbf27fb2-f0f5-11e0-b437-123139104432,1
2011,FW,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,cc0c67c4-f0f5-11e0-b437-123139104432,1
2011,HO,3000,NON STUDENT REG HOURS,NON STU REG,Y,cc26fc1a-f0f5-11e0-b437-123139104432,1
2011,IA,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,cc41fb00-f0f5-11e0-b437-123139104432,1
2011,IA,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,cc5ca716-f0f5-11e0-b437-123139104432,1
2011,IA,3000,NON STUDENT REG HOURS,NON STU REG,Y,cc7586e6-f0f5-11e0-b437-123139104432,1
2011,IA,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,cc916802-f0f5-11e0-b437-123139104432,1
2011,IA,3200,OVERTIME - STAFF,O T - STAFF,Y,ccaab1ae-f0f5-11e0-b437-123139104432,1
2011,IA,3250,OVERTIME - HOURLY,O T - HRLY,Y,ccc89ac0-f0f5-11e0-b437-123139104432,1
2011,IA,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,cce17d38-f0f5-11e0-b437-123139104432,1
2011,IA,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,ccfd15ca-f0f5-11e0-b437-123139104432,1
2011,IA,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,cd15f89c-f0f5-11e0-b437-123139104432,1
2011,IA,3500,STUDENT REG HOURS,STU REG HOUR,Y,cd32cf26-f0f5-11e0-b437-123139104432,1
2011,IA,3800,STUDENT WORK STUDY HOURS,STU WORK STU,Y,cd4cf3ba-f0f5-11e0-b437-123139104432,1
2011,IA,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,cd679850-f0f5-11e0-b437-123139104432,1
2011,IA,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,cd8280de-f0f5-11e0-b437-123139104432,1
