ENTITY_AFLTN_ID,ENTITY_ID,AFLTN_TYP_CD,CAMPUS_CD,DFLT_IND,ACTV_IND,OBJ_ID,VER_NBR
10088,10088,STAFF,BL,Y,Y,KFS2390600602,1
10089,10089,STAFF,BL,Y,Y,KFS1362801241,1
10090,10090,STAFF,BL,Y,Y,KFS5063418759,1
10091,10091,STAFF,BL,Y,Y,KFS5203978293,1
10092,10092,STAFF,BL,Y,Y,KFS1204808831,1
10093,10093,STAFF,BL,Y,Y,KFS3738303291,1
10094,10094,STAFF,BL,Y,Y,KFS5023975075,1
10095,10095,STAFF,BL,Y,Y,KFS5192369024,1
10096,10096,STAFF,BL,Y,Y,KFS5283899333,1
10097,10097,STAFF,BL,Y,Y,KFS3649600016,1
10098,10098,STAFF,BL,Y,Y,KFS3516907290,1
10099,10099,STAFF,BL,Y,Y,KFS1223106803,1
10100,10100,STAFF,BL,Y,Y,KFS2307308417,1
10101,10101,STAFF,BL,Y,Y,KFS5543169405,1
10102,10102,STAFF,IN,Y,Y,KFS5809309337,1
10103,10103,STAFF,IN,Y,Y,KFS5943267570,1
10104,10104,STAFF,BL,Y,Y,KFS5540292162,1
10105,10105,STAFF,BL,Y,Y,KFS1572208606,1
10106,10106,STAFF,BL,Y,Y,KFS1651505232,1
10107,10107,STAFF,BL,Y,Y,KFS5774433245,1
10108,10108,STAFF,BL,Y,Y,KFS5670064054,1
10109,10109,STAFF,BL,Y,Y,KFS3826406131,1
10110,10110,STAFF,BL,Y,Y,KFS5192185031,1
10111,10111,STAFF,BL,Y,Y,KFS2741900332,1
10112,10112,STAFF,BL,Y,Y,KFS5195619927,1
10113,10113,STAFF,BL,Y,Y,KFS1908806212,1
10114,10114,STAFF,BL,Y,Y,KFS3601403206,1
10115,10115,STAFF,BL,Y,Y,KFS5232808383,1
10116,10116,STAFF,BL,Y,Y,KFS5314122418,1
10117,10117,STAFF,BL,Y,Y,KFS2937806342,1
10118,10118,STAFF,BL,Y,Y,KFS5713613329,1
10119,10119,STAFF,BL,Y,Y,KFS1747705005,1
10120,10120,STAFF,BL,Y,Y,KFS2264204055,1
10121,10121,STAFF,BL,Y,Y,KFS3925405955,1
10122,10122,STAFF,BL,Y,Y,KFS3275401107,1
10123,10123,STAFF,BL,Y,Y,KFS3691001925,1
10124,10124,STAFF,BL,Y,Y,KFS5056283963,1
10125,10125,STAFF,BL,Y,Y,KFS5712058844,1
10126,10126,STAFF,BL,Y,Y,KFS2578605950,1
10127,10127,STAFF,BL,Y,Y,KFS1550800182,1
10128,10128,STAFF,BL,Y,Y,KFS5307993824,1
10129,10129,STAFF,BL,Y,Y,KFS2635407255,1
10130,10130,STAFF,BL,Y,Y,KFS1507307306,1
10131,10131,STAFF,BL,Y,Y,KFS1526100787,1
10132,10132,STAFF,BL,Y,Y,KFS1135201202,1
10133,10133,STAFF,IN,Y,Y,KFS3312503232,1
10134,10134,STAFF,BL,Y,Y,KFS5070731675,1
10135,10135,STAFF,BL,Y,Y,KFS3283707808,1
10136,10136,STAFF,BL,Y,Y,KFS2470005487,1
10137,10137,STAFF,BL,Y,Y,KFS5351696477,1
10138,10138,STAFF,BL,Y,Y,KFS2909700894,1
10139,10139,STAFF,BL,Y,Y,KFS5334011743,1
10140,10140,STAFF,BL,Y,Y,KFS1198203164,1
10141,10141,STAFF,BL,Y,Y,KFS1197209582,1
10142,10142,STAFF,BL,Y,Y,KFS5411149156,1
10143,10143,STAFF,BL,Y,Y,KFS5004953864,1
10144,10144,STAFF,BL,Y,Y,KFS1302403183,1
10145,10145,STAFF,BL,Y,Y,KFS2758708357,1
10146,10146,STAFF,BL,Y,Y,KFS2307207334,1
10147,10147,STAFF,BL,Y,Y,KFS5174205391,1
10148,10148,STAFF,BL,Y,Y,KFS5765247378,1
10149,10149,STAFF,BL,Y,Y,KFS2079504577,1
10150,10150,STAFF,BL,Y,Y,KFS4207803670,1
10151,10151,STAFF,BL,Y,Y,KFS2331208456,1
10152,10152,STAFF,BL,Y,Y,KFS4221904096,1
10153,10153,STAFF,BL,Y,Y,KFS1248203895,1
10154,10154,STAFF,BL,Y,Y,KFS2030404991,1
10155,10155,STAFF,BL,Y,Y,KFS4205208566,1
10156,10156,STAFF,BL,Y,Y,KFS3795206649,1
10157,10157,STAFF,BL,Y,Y,KFS5819309255,1
10158,10158,STAFF,BL,Y,Y,KFS5907053654,1
10159,10159,STAFF,BL,Y,Y,KFS3058705294,1
10160,10160,STAFF,BL,Y,Y,KFS3642904880,1
10161,10161,STAFF,BL,Y,Y,KFS5170994637,1
10162,10162,STAFF,BL,Y,Y,KFS5725303514,1
10163,10163,STAFF,BL,Y,Y,KFS3803402449,1
10164,10164,STAFF,BL,Y,Y,KFS5927639487,1
10165,10165,STAFF,BL,Y,Y,KFS5454058840,1
10166,10166,STAFF,BL,Y,Y,KFS1999401495,1
10167,10167,STAFF,BL,Y,Y,KFS5093572667,1
10168,10168,STAFF,IN,Y,Y,KFS5611783834,1
10169,10169,STAFF,BL,Y,Y,KFS3428204097,1
10170,10170,STAFF,BL,Y,Y,KFS2499408370,1
10171,10171,STAFF,BL,Y,Y,KFS5272271837,1
10172,10172,STAFF,BL,Y,Y,KFS5202677635,1
10173,10173,STAFF,BL,Y,Y,KFS2160507403,1
10174,10174,STAFF,BL,Y,Y,KFS2766001893,1
10175,10175,STAFF,BL,Y,Y,KFS5812327994,1
10176,10176,STAFF,BL,Y,Y,KFS3367504366,1
10177,10177,STAFF,BL,Y,Y,KFS5031579522,1
10178,10178,STAFF,BL,Y,Y,KFS1275504380,1
10179,10179,STAFF,BL,Y,Y,KFS5571585373,1
10180,10180,STAFF,BL,Y,Y,KFS1452907448,1
10181,10181,STAFF,BL,Y,Y,KFS5487714022,1
10182,10182,STAFF,BL,Y,Y,KFS1202108464,1
10183,10183,STAFF,BL,Y,Y,KFS1805600524,1
10184,10184,STAFF,BL,Y,Y,KFS5269139522,1
10185,10185,STAFF,BL,Y,Y,KFS2366709421,1
10186,10186,STAFF,BL,Y,Y,KFS1423005543,1
10187,10187,STAFF,BL,Y,Y,KFS2915209681,1
10188,10188,STAFF,BL,Y,Y,KFS5374916469,1
10189,10189,STAFF,BL,Y,Y,KFS2777801570,1
10190,10190,STAFF,BL,Y,Y,KFS5538942923,1
10191,10191,STAFF,BL,Y,Y,KFS5165806291,1
10192,10192,STAFF,BL,Y,Y,KFS1569401609,1
10193,10193,STAFF,BL,Y,Y,KFS4186206504,1
10194,10194,STAFF,BL,Y,Y,KFS5636065415,1
10195,10195,STAFF,BL,Y,Y,KFS5925273370,1
10196,10196,STAFF,BL,Y,Y,KFS1402703961,1
10197,10197,STAFF,BL,Y,Y,KFS5833718096,1
10198,10198,STAFF,BL,Y,Y,KFS4178502080,1
10199,10199,STAFF,BL,Y,Y,KFS5416732436,1
10200,10200,STAFF,BL,Y,Y,KFS1976402563,1
10201,10201,STAFF,BL,Y,Y,KFS5934827280,1
10202,10202,STAFF,BL,Y,Y,KFS2754906885,1
10203,10203,STAFF,BL,Y,Y,KFS2736007574,1
10204,10204,STAFF,BL,Y,Y,KFS3962709804,1
10205,10205,STAFF,BL,Y,Y,KFS3935505190,1
10206,10206,STAFF,BL,Y,Y,KFS2664406482,1
10207,10207,STAFF,BL,Y,Y,KFS2565902038,1
10208,10208,STAFF,BL,Y,Y,KFS5071878780,1
10209,10209,STAFF,BL,Y,Y,KFS3919002203,1
10210,10210,STAFF,BL,Y,Y,KFS1539805280,1
10211,10211,STAFF,BL,Y,Y,KFS5231251409,1
10212,10212,STAFF,BL,Y,Y,KFS1586809641,1
10213,10213,STAFF,BL,Y,Y,KFS1645207081,1
10214,10214,STAFF,BL,Y,Y,KFS5718398122,1
10215,10215,STAFF,BL,Y,Y,KFS5997574834,1
10216,10216,STAFF,BL,Y,Y,KFS3831904949,1
10217,10217,STAFF,BL,Y,Y,KFS2953707698,1
10218,10218,STAFF,BL,Y,Y,KFS5823386215,1
10219,10219,STAFF,BL,Y,Y,KFS2151904169,1
10220,10220,STAFF,BL,Y,Y,KFS3402407949,1
10221,10221,STAFF,BL,Y,Y,KFS3279007141,1
10222,10222,STAFF,BL,Y,Y,KFS2675607147,1
10223,10223,STAFF,BL,Y,Y,KFS4035300327,1
10224,10224,STAFF,BL,Y,Y,KFS1226406048,1
10225,10225,STAFF,BL,Y,Y,KFS1438202062,1
10226,10226,STAFF,BL,Y,Y,KFS1542907750,1
10227,10227,STAFF,BL,Y,Y,KFS3433602266,1
10228,10228,STAFF,BL,Y,Y,KFS5961256137,1
10229,10229,STAFF,BL,Y,Y,KFS3611800101,1
10230,10230,STAFF,BL,Y,Y,KFS2751600451,1
10231,10231,STAFF,BL,Y,Y,KFS3687302674,1
10232,10232,STAFF,BL,Y,Y,KFS5027425575,1
10233,10233,STAFF,BL,Y,Y,KFS5486177388,1
10234,10234,STAFF,BL,Y,Y,KFS3705304927,1
10235,10235,STAFF,BL,Y,Y,KFS1693204528,1
10236,10236,STAFF,BL,Y,Y,KFS5688132527,1
10237,10237,STAFF,BL,Y,Y,KFS1309104027,1
10238,10238,STAFF,BL,Y,Y,KFS2935303709,1
10239,10239,STAFF,BL,Y,Y,KFS3776005327,1
10240,10240,STAFF,BL,Y,Y,KFS1119909078,1
10241,10241,STAFF,BL,Y,Y,KFS5453270782,1
10242,10242,STAFF,BL,Y,Y,KFS1959008511,1
10243,10243,STAFF,EA,Y,Y,KFS3278308927,1
10244,10244,STAFF,BL,Y,Y,KFS5880000968,1
10245,10245,STAFF,BL,Y,Y,KFS3098006714,1
10246,10246,STAFF,BL,Y,Y,KFS3397100787,1
10247,10247,STAFF,BL,Y,Y,KFS5105527362,1
10248,10248,STAFF,IN,Y,Y,KFS5038246560,1
10249,10249,STAFF,BL,Y,Y,KFS4189500212,1
10250,10250,STAFF,NW,Y,Y,KFS3644105427,1
10251,10251,STAFF,KO,Y,Y,KFS5763210085,1
10252,10252,STAFF,BL,Y,Y,KFS3736906932,1
10253,10253,STAFF,SB,Y,Y,KFS2954107527,1
10254,10254,STAFF,BL,Y,Y,KFS5707283591,1
10255,10255,STAFF,BL,Y,Y,KFS5655222888,1
10256,10256,STAFF,EA,Y,Y,KFS3105802010,1
10257,10257,STAFF,KO,Y,Y,KFS2988703413,1
10258,10258,STAFF,IN,Y,Y,KFS5270352353,1
10259,10259,STAFF,BL,Y,Y,KFS5746277470,1
10260,10260,STAFF,BL,Y,Y,KFS1713307115,1
10261,10261,STAFF,BL,Y,Y,KFS1377209588,1
10262,10262,STAFF,IN,Y,Y,KFS5334268394,1
10263,10263,STAFF,BL,Y,Y,KFS5782438260,1
10264,10264,STAFF,BL,Y,Y,KFS3344600883,1
10265,10265,STAFF,IN,Y,Y,KFS2999000040,1
10266,10266,STAFF,BL,Y,Y,KFS5962292647,1
10267,10267,STAFF,SB,Y,Y,KFS5100095328,1
10268,10268,STAFF,SB,Y,Y,KFS5662805363,1
10269,10269,STAFF,SB,Y,Y,KFS2210808811,1
10270,10270,STAFF,EA,Y,Y,KFS3589506178,1
10271,10271,STAFF,BL,Y,Y,KFS5425414489,1
10272,10272,STAFF,BL,Y,Y,KFS2585603740,1
10273,10273,STAFF,IN,Y,Y,KFS2133704704,1
10274,10274,STAFF,BL,Y,Y,KFS2930203477,1
10275,10275,STAFF,BL,Y,Y,KFS2539200452,1
10276,10276,STAFF,IN,Y,Y,KFS5681889026,1
10277,10277,STAFF,BL,Y,Y,KFS5499865984,1
10278,10278,STAFF,IN,Y,Y,KFS2286203328,1
10279,10279,STAFF,IN,Y,Y,KFS1604403450,1
10280,10280,STAFF,IN,Y,Y,KFS1662000685,1
10281,10281,STAFF,BL,Y,Y,KFS2129506255,1
10282,10282,STAFF,IN,Y,Y,KFS1110902378,1
10283,10283,STAFF,SB,Y,Y,KFS5686793074,1
10284,10284,STAFF,SB,Y,Y,KFS5357735106,1
10285,10285,STAFF,EA,Y,Y,KFS5519657326,1
10286,10286,STAFF,IN,Y,Y,KFS2858107175,1
10287,10287,STAFF,SE,Y,Y,KFS3483409286,1
10288,10288,STAFF,BL,Y,Y,KFS5535109690,1
10289,10289,STAFF,BL,Y,Y,KFS5357531311,1
10290,10290,STAFF,IN,Y,Y,KFS4212400813,1
10291,10291,STAFF,EA,Y,Y,KFS3458300078,1
10292,10292,STAFF,BL,Y,Y,KFS5740134383,1
10293,10293,STAFF,BL,Y,Y,KFS2691706557,1
10294,10294,STAFF,BL,Y,Y,KFS2250505415,1
10295,10295,STAFF,IN,Y,Y,KFS2153800157,1
10296,10296,STAFF,BL,Y,Y,KFS1308508136,1
10297,10297,STAFF,EA,Y,Y,KFS5231310966,1
10298,10298,STAFF,BL,Y,Y,KFS1769006523,1
10299,10299,STAFF,BL,Y,Y,KFS1516803729,1
10300,10300,STAFF,BL,Y,Y,KFS2753204360,1
10301,10301,STAFF,SB,Y,Y,KFS3420506415,1
10302,10302,STAFF,SB,Y,Y,KFS5476954582,1
10303,10303,STAFF,SB,Y,Y,KFS4182800995,1
10304,10304,STAFF,BL,Y,Y,KFS5968262906,1
10305,10305,STAFF,BL,Y,Y,KFS5868090592,1
10306,10306,STAFF,IN,Y,Y,KFS5798041539,1
10307,10307,STAFF,BL,Y,Y,KFS5595992071,1
10308,10308,STAFF,EA,Y,Y,KFS5148338094,1
10309,10309,STAFF,BL,Y,Y,KFS2341000360,1
10310,10310,STAFF,BL,Y,Y,KFS3546008326,1
10311,10311,STAFF,EA,Y,Y,KFS5301611061,1
10312,10312,STAFF,KO,Y,Y,KFS5429384014,1
10313,10313,STAFF,BL,Y,Y,KFS4156403438,1
10314,10314,STAFF,IN,Y,Y,KFS1326409751,1
10315,10315,STAFF,BL,Y,Y,KFS3792801722,1
10316,10316,STAFF,KO,Y,Y,KFS1729700072,1
10317,10317,STAFF,BL,Y,Y,KFS2371700399,1
10318,10318,STAFF,BL,Y,Y,KFS5949305030,1
10319,10319,STAFF,BL,Y,Y,KFS5133949160,1
10320,10320,STAFF,BL,Y,Y,KFS2363702481,1
10321,10321,STAFF,KO,Y,Y,KFS2171104510,1
10322,10322,STAFF,BL,Y,Y,KFS5158576071,1
10323,10323,STAFF,IN,Y,Y,KFS1209204593,1
10324,10324,STAFF,BL,Y,Y,KFS1927601081,1
10325,10325,STAFF,BL,Y,Y,KFS1638600687,1
10326,10326,STAFF,BL,Y,Y,KFS2982703845,1
10327,10327,STAFF,BL,Y,Y,KFS2826600464,1
10328,10328,STAFF,BL,Y,Y,KFS1481405715,1
10329,10329,STAFF,BL,Y,Y,KFS4146202628,1
10330,10330,STAFF,IN,Y,Y,KFS3065204391,1
10331,10331,STAFF,SB,Y,Y,KFS3093503932,1
10332,10332,STAFF,BL,Y,Y,KFS5860801989,1
10333,10333,STAFF,BL,Y,Y,KFS2330602960,1
10334,10334,STAFF,IN,Y,Y,KFS5516117146,1
10335,10335,STAFF,IN,Y,Y,KFS2836802141,1
10336,10336,STAFF,IN,Y,Y,KFS1445401166,1
10337,10337,STAFF,IN,Y,Y,KFS5246839492,1
10338,10338,STAFF,KO,Y,Y,KFS2513907599,1
10339,10339,STAFF,IN,Y,Y,KFS5607786094,1
10340,10340,STAFF,BL,Y,Y,KFS3670600494,1
10341,10341,STAFF,IN,Y,Y,KFS5039925000,1
10342,10342,STAFF,NW,Y,Y,KFS2067406910,1
10343,10343,STAFF,SB,Y,Y,KFS1586001806,1
10344,10344,STAFF,BL,Y,Y,KFS5533517331,1
10345,10345,STAFF,BL,Y,Y,KFS5296168286,1
10346,10346,STAFF,BL,Y,Y,KFS3608607904,1
10347,10347,STAFF,IN,Y,Y,KFS2256603317,1
10348,10348,STAFF,EA,Y,Y,KFS1610003826,1
10349,10349,STAFF,BL,Y,Y,KFS5740277302,1
10350,10350,STAFF,BL,Y,Y,KFS5188653694,1
10351,10351,STAFF,BL,Y,Y,KFS4052406505,1
10352,10352,STAFF,SB,Y,Y,KFS5421805983,1
10353,10353,STAFF,IN,Y,Y,KFS5950395895,1
10354,10354,STAFF,NW,Y,Y,KFS5349547591,1
10355,10355,STAFF,IN,Y,Y,KFS3629509166,1
10356,10356,STAFF,EA,Y,Y,KFS1604806887,1
10357,10357,STAFF,BL,Y,Y,KFS3567502882,1
10358,10358,STAFF,SB,Y,Y,KFS2997600421,1
10359,10359,STAFF,BL,Y,Y,KFS2059604038,1
10360,10360,STAFF,BL,Y,Y,KFS2456208743,1
10361,10361,STAFF,BL,Y,Y,KFS2396907870,1
10362,10362,STAFF,BL,Y,Y,KFS2580507812,1
10363,10363,STAFF,IN,Y,Y,KFS3242403876,1
10364,10364,STAFF,BL,Y,Y,KFS1877007651,1
10365,10365,STAFF,IN,Y,Y,KFS5443792669,1
10366,10366,STAFF,BL,Y,Y,KFS5376184603,1
10367,10367,STAFF,SE,Y,Y,KFS5984165424,1
10368,10368,STAFF,KO,Y,Y,KFS5916059291,1
10369,10369,STAFF,IN,Y,Y,KFS5172187777,1
10370,10370,STAFF,IN,Y,Y,KFS3600407439,1
10371,10371,STAFF,BL,Y,Y,KFS1742302068,1
10372,10372,STAFF,BL,Y,Y,KFS5760889708,1
10373,10373,STAFF,BL,Y,Y,KFS2042307164,1
10374,10374,STAFF,BL,Y,Y,KFS2906405069,1
10375,10375,STAFF,SE,Y,Y,KFS1466201279,1
10376,10376,STAFF,BL,Y,Y,KFS5842997784,1
10377,10377,STAFF,BL,Y,Y,KFS2235508855,1
10378,10378,STAFF,BL,Y,Y,KFS5253835165,1
10379,10379,STAFF,BL,Y,Y,KFS2595801199,1
10380,10380,STAFF,SE,Y,Y,KFS5118754682,1
10381,10381,STAFF,SE,Y,Y,KFS5106864029,1
10382,10382,STAFF,BL,Y,Y,KFS4179703037,1
10383,10383,STAFF,BL,Y,Y,KFS5291008808,1
10384,10384,STAFF,BL,Y,Y,KFS5130910049,1
10385,10385,STAFF,BL,Y,Y,KFS2065607872,1
10386,10386,STAFF,IN,Y,Y,KFS1435601504,1
10387,10387,STAFF,BL,Y,Y,KFS1462106196,1
10388,10388,STAFF,BL,Y,Y,KFS2422607714,1
10389,10389,STAFF,BL,Y,Y,KFS3373403412,1
10390,10390,STAFF,EA,Y,Y,KFS2780707389,1
10391,10391,STAFF,BL,Y,Y,KFS3002005569,1
10392,10392,STAFF,IN,Y,Y,KFS2479206997,1
10393,10393,STAFF,BL,Y,Y,KFS5879383297,1
10394,10394,STAFF,IN,Y,Y,KFS5712159869,1
10395,10395,STAFF,BL,Y,Y,KFS5588915442,1
10396,10396,STAFF,IN,Y,Y,KFS5433238227,1
10397,10397,STAFF,IN,Y,Y,KFS1950502955,1
10398,10398,STAFF,BL,Y,Y,KFS3518107121,1
10399,10399,STAFF,EA,Y,Y,KFS5716827941,1
10400,10400,STAFF,BL,Y,Y,KFS5890906316,1
10401,10401,STAFF,BL,Y,Y,KFS5857811765,1
10402,10402,STAFF,BL,Y,Y,KFS1771605842,1
10403,10403,STAFF,BL,Y,Y,KFS5764051591,1
10404,10404,STAFF,IN,Y,Y,KFS4161901639,1
10405,10405,STAFF,BL,Y,Y,KFS2659604340,1
10406,10406,STAFF,BL,Y,Y,KFS1271001025,1
10407,10407,STAFF,EA,Y,Y,KFS1991802088,1
10408,10408,STAFF,BL,Y,Y,KFS1659405606,1
10409,10409,STAFF,SB,Y,Y,KFS3158308097,1
10410,10410,STAFF,IN,Y,Y,KFS4097008161,1
10411,10411,STAFF,BL,Y,Y,KFS5206084673,1
10412,10412,STAFF,BL,Y,Y,KFS2591702869,1
10413,10413,STAFF,BL,Y,Y,KFS1239102444,1
10414,10414,STAFF,BL,Y,Y,KFS3639507871,1
10415,10415,STAFF,BL,Y,Y,KFS5799054062,1
10416,10416,STAFF,IN,Y,Y,KFS1364506195,1
10417,10417,STAFF,BL,Y,Y,KFS2642509031,1
10418,10418,STAFF,IN,Y,Y,KFS5468295645,1
10419,10419,STAFF,EA,Y,Y,KFS1326309202,1
10420,10420,STAFF,EA,Y,Y,KFS3474206166,1
10421,10421,STAFF,EA,Y,Y,KFS5714770588,1
10422,10422,STAFF,EA,Y,Y,KFS1890805655,1
10423,10423,STAFF,EA,Y,Y,KFS5148188123,1
10424,10424,STAFF,IN,Y,Y,KFS5335343762,1
10425,10425,STAFF,BL,Y,Y,KFS1184605262,1
10426,10426,STAFF,EA,Y,Y,KFS5336175170,1
10427,10427,STAFF,BL,Y,Y,KFS2329509434,1
10428,10428,STAFF,SB,Y,Y,KFS1674805643,1
10429,10429,STAFF,EA,Y,Y,KFS3247002806,1
10430,10430,STAFF,IN,Y,Y,KFS5944668139,1
10431,10431,STAFF,BL,Y,Y,KFS4205601851,1
10432,10432,STAFF,IN,Y,Y,KFS3420502200,1
10433,10433,STAFF,NW,Y,Y,KFS4068005169,1
10434,10434,STAFF,KO,Y,Y,KFS3909900391,1
10435,10435,STAFF,IN,Y,Y,KFS1581207819,1
10436,10436,STAFF,IN,Y,Y,KFS1469805442,1
10437,10437,STAFF,BL,Y,Y,KFS2591309555,1
10438,10438,STAFF,EA,Y,Y,KFS2701405642,1
10439,10439,STAFF,BL,Y,Y,KFS2860009297,1
10440,10440,STAFF,BL,Y,Y,KFS5644167488,1
10441,10441,STAFF,BL,Y,Y,KFS5027225853,1
10442,10442,STAFF,BL,Y,Y,KFS1545104915,1
10443,10443,STAFF,KO,Y,Y,KFS5522487032,1
10444,10444,STAFF,BL,Y,Y,KFS1290503526,1
10445,10445,STAFF,NW,Y,Y,KFS1975509930,1
10446,10446,STAFF,SB,Y,Y,KFS1183109030,1
10447,10447,STAFF,KO,Y,Y,KFS1719509014,1
10448,10448,STAFF,IN,Y,Y,KFS5898450840,1
10449,10449,STAFF,IN,Y,Y,KFS2929202535,1
10450,10450,STAFF,SE,Y,Y,KFS2254202107,1
10451,10451,STAFF,BL,Y,Y,KFS2588908364,1
10452,10452,STAFF,BL,Y,Y,KFS2726706560,1
10453,10453,STAFF,BL,Y,Y,KFS1998203566,1
10454,10454,STAFF,BL,Y,Y,KFS5911893468,1
10455,10455,STAFF,BL,Y,Y,KFS3851306848,1
10456,10456,STAFF,BL,Y,Y,KFS2367402565,1
10457,10457,STAFF,BL,Y,Y,KFS3264700400,1
10458,10458,STAFF,IN,Y,Y,KFS3296604185,1
10459,10459,STAFF,IN,Y,Y,KFS5397254139,1
10460,10460,STAFF,IN,Y,Y,KFS2532408486,1
