FIN_COA_CD,ACCOUNT_NBR,ACCOUNT_NM,ORG_CD,ACCT_CREATE_DT,ACCT_EFFECT_DT,ACCT_EXPIRATION_DT,ACCT_CLOSED_IND,OBJ_ID,VER_NBR
BL,1036260,BUSINESS-MARKETING,MKTG,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b5daeff6-f0f1-11e0-b437-123139104432,1
BL,1036285,BUSINESS Z302,MGMT,1997-04-23 00:00:00,1997-04-23 00:00:00,2049-01-01 00:00:00,N,b5e54438-f0f1-11e0-b437-123139104432,1
BL,1036300,TECHNOLOGY OPERATIONS AND SERVICES,IT,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b5fc1e92-f0f1-11e0-b437-123139104432,1
BL,1036460,WEBSITE MANAGEMENT,BUS,2007-05-10 00:00:00,2007-05-10 00:00:00,2049-01-01 00:00:00,N,b6067540-f0f1-11e0-b437-123139104432,1
BL,1036600,BUSINESS UNDERGRADUATE CAREER SERVICES,UGCS,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b610c194-f0f1-11e0-b437-123139104432,1
BL,1040005,SPEA SUMMER PROGRAMS,SPEA,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b61b073a-f0f1-11e0-b437-123139104432,1
BL,1040006,STUDENT SERVICES - GRADUATE PROGRAMS,SPEA,1999-05-11 00:00:00,1999-05-11 00:00:00,2049-01-01 00:00:00,N,b6304398-f0f1-11e0-b437-123139104432,1
BL,1040205,CTR FOR RES ON TEACH & LEARN,CFLT,1998-07-17 00:00:00,1998-07-01 00:00:00,2049-01-01 00:00:00,N,b63a8876-f0f1-11e0-b437-123139104432,1
BL,1040210,SOE RESEARCH & DEVELOPMENT,RSDP,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b644db46-f0f1-11e0-b437-123139104432,1
BL,1040215,EDUCATION - GRADUATE STUDIES,EADM,2001-10-26 00:00:00,2001-10-26 00:00:00,2049-01-01 00:00:00,N,b64f2ae2-f0f1-11e0-b437-123139104432,1
BL,1040900,DEPT INSTR SYSTEMS TECH,ISTE,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b6598c8a-f0f1-11e0-b437-123139104432,1
BL,1041700,DEPT-CURRICULUM-INSTRUCTION,CRIN,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b666213e-f0f1-11e0-b437-123139104432,1
BL,1042000,OFFICE UNDERGRAD EDUCATION,TEED,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b67069c8-f0f1-11e0-b437-123139104432,1
BL,1042603,COMMUNICATIONS DEPARTMENT,MUAD,1999-05-07 00:00:00,1999-07-01 00:00:00,2049-01-01 00:00:00,N,b67b2700-f0f1-11e0-b437-123139104432,1
BL,1042640,BALLET DEPARTMENT,MBAL,1998-04-06 00:00:00,1998-04-06 00:00:00,2049-01-01 00:00:00,N,b68ea6ae-f0f1-11e0-b437-123139104432,1
BL,1042800,INDIANA UNIVERSITY BANDS,MUBA,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b69c04d4-f0f1-11e0-b437-123139104432,1
BL,1042810,CHORAL ENSEMBLES - MUSIC,MUCA,1998-04-06 00:00:00,1998-04-06 00:00:00,2049-01-01 00:00:00,N,b6a67ae0-f0f1-11e0-b437-123139104432,1
BL,1042820,INSTRUMENTAL ENSEMBLES,MUIE,1998-04-06 00:00:00,1998-04-06 00:00:00,2049-01-01 00:00:00,N,b6b2d1b4-f0f1-11e0-b437-123139104432,1
BL,1042822,CONDUCTORS ORCHESTRA,MUIE,2005-12-22 00:00:00,2005-12-22 00:00:00,2049-01-01 00:00:00,N,b6bd620a-f0f1-11e0-b437-123139104432,1
BL,1045001,HPER OFFICE OF ADVANCEMENT,HPER,1996-05-03 00:00:00,1996-05-03 00:00:00,2049-01-01 00:00:00,N,b6d05572-f0f1-11e0-b437-123139104432,1
BL,1045002,HPER COMPUTER SUPPORT,HPER,1996-05-03 00:00:00,1996-05-03 00:00:00,2049-01-01 00:00:00,N,b6dade34-f0f1-11e0-b437-123139104432,1
BL,1045100,HPER PROGRAM SERVICES & FAC,PSAF,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b6e558fa-f0f1-11e0-b437-123139104432,1
BL,1045700,APPLIED HEALTH SCIENCE,APHS,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b6efec7a-f0f1-11e0-b437-123139104432,1
BL,1046200,DEPT OF KINESIOLOGY,KINE,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b6fc7f4e-f0f1-11e0-b437-123139104432,1
BL,1046202,DIVISION RECREATIONAL SPORT,RECS,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b706f672-f0f1-11e0-b437-123139104432,1
BL,1046300,RS GENERAL FUNDS,RECS,2007-05-16 00:00:00,2007-05-16 00:00:00,2049-01-01 00:00:00,N,b711872c-f0f1-11e0-b437-123139104432,1
BL,1046301,HPER FACILITY SUPPORT,RECS,2008-03-11 00:00:00,2008-03-11 00:00:00,2049-01-01 00:00:00,N,b71da3e0-f0f1-11e0-b437-123139104432,1
BL,1047100,RESEARCH COMPUTING,VPIT,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b72a455a-f0f1-11e0-b437-123139104432,1
BL,1047101,IT STRATEGIC PLAN,VPIT,2003-03-21 00:00:00,2003-03-21 00:00:00,2049-01-01 00:00:00,N,b73cb69a-f0f1-11e0-b437-123139104432,1
BL,1047105,UNIV COMP SERV-TECH FEE,STF,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b74728aa-f0f1-11e0-b437-123139104432,1
BL,1047200,LAW BLOOMINGTON,LAWS,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b751e0ce-f0f1-11e0-b437-123139104432,1
BL,1047290,EXCELLENCE IN CYBERSECURITY-LAW,CYCT,2006-08-23 00:00:00,2006-08-23 00:00:00,2049-01-01 00:00:00,N,b75c5db0-f0f1-11e0-b437-123139104432,1
BL,1047300,LAW LIBRARY,LAWL,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b7708600-f0f1-11e0-b437-123139104432,1
BL,1047405,TEACHING & LEARNING,LIAS,1999-05-12 00:00:00,1999-05-12 00:00:00,2049-01-01 00:00:00,N,b77b9ad6-f0f1-11e0-b437-123139104432,1
BL,1047406,CUSTOMER ACCESS SERVICES,LIAS,1999-05-12 00:00:00,1999-05-12 00:00:00,2049-01-01 00:00:00,N,b7884ea2-f0f1-11e0-b437-123139104432,1
BL,1047407,LILLY LIBRARY,LISP,1999-05-12 00:00:00,1999-05-12 00:00:00,2049-01-01 00:00:00,N,b792d642-f0f1-11e0-b437-123139104432,1
BL,1047409,DIGITAL LIBRARY PROGRAM,LIIT,1999-05-12 00:00:00,1999-05-12 00:00:00,2049-01-01 00:00:00,Y,b7a70270-f0f1-11e0-b437-123139104432,1
BL,1047411,INFORMATION TECHNOLOGY,LIIT,1999-05-12 00:00:00,1999-05-12 00:00:00,2049-01-01 00:00:00,N,b7b192bc-f0f1-11e0-b437-123139104432,1
BL,1047412,ALF,LIAS,2002-06-07 00:00:00,2002-06-07 00:00:00,2049-01-01 00:00:00,N,b7bf4420-f0f1-11e0-b437-123139104432,1
BL,1047418,REFERENCE,LIAS,1999-05-13 00:00:00,1999-05-13 00:00:00,2049-01-01 00:00:00,N,b7ca9244-f0f1-11e0-b437-123139104432,1
BL,1047422,BUSINESS/SPEA LIBRARY,LISS,1999-05-12 00:00:00,1999-05-12 00:00:00,2049-01-01 00:00:00,N,b7deff0e-f0f1-11e0-b437-123139104432,1
BL,1047425,FINE ARTS LIBRARY,LIAH,1999-05-12 00:00:00,1999-05-12 00:00:00,2049-01-01 00:00:00,N,b7e9c84e-f0f1-11e0-b437-123139104432,1
BL,1047428,ARTS & HUMANITIES,LIAH,1999-05-12 00:00:00,1999-05-12 00:00:00,2049-01-01 00:00:00,N,b7f62cb0-f0f1-11e0-b437-123139104432,1
BL,1047430,MUSIC LIBRARY,LISS,1999-05-12 00:00:00,1999-05-12 00:00:00,2049-01-01 00:00:00,N,b800b810-f0f1-11e0-b437-123139104432,1
BL,1047431,OPTOMETRY LIBRARY,LISS,1999-05-12 00:00:00,1999-05-12 00:00:00,2049-01-01 00:00:00,N,b810bf62-f0f1-11e0-b437-123139104432,1
BL,1047435,CATALOGING,LCAT,1999-05-17 00:00:00,1999-05-17 00:00:00,2049-01-01 00:00:00,N,b81b41d0-f0f1-11e0-b437-123139104432,1
BL,1047436,HPER LIBRARY,LISS,1999-05-26 00:00:00,1999-05-26 00:00:00,2049-01-01 00:00:00,N,b825b296-f0f1-11e0-b437-123139104432,1
BL,1047438,DDS/ILL,LACQ,1999-07-20 00:00:00,1999-07-20 00:00:00,2049-01-01 00:00:00,N,b8303ca2-f0f1-11e0-b437-123139104432,1
BL,1048010,CAMPUS MAINTENANCE,CAMM,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b83ad34c-f0f1-11e0-b437-123139104432,1
BL,1048720,INSTRUCTION--CSCI,CSCI,2005-02-28 00:00:00,2005-02-28 00:00:00,2049-01-01 00:00:00,N,b8462c42-f0f1-11e0-b437-123139104432,1
BL,1048786,GRAD RECRUITMENT,INFO,2004-04-12 00:00:00,2004-04-12 00:00:00,2049-01-01 00:00:00,N,b850b2ca-f0f1-11e0-b437-123139104432,1
BL,2042640,COLLEGE AUDITION PREPARATION/SPEC PRGRMS,MUSP,1998-12-03 00:00:00,1998-12-03 00:00:00,2049-01-01 00:00:00,N,b9f05716-f0f1-11e0-b437-123139104432,1
BL,2042654,PRE-COLLEGE BALLET,MUSP,1999-05-12 00:00:00,1999-07-01 00:00:00,2049-01-01 00:00:00,N,b9fa85e2-f0f1-11e0-b437-123139104432,1
BL,2046200,COUNSILMAN CTR FOR SCIENCE OF SWIMMING,KINE,2003-06-06 00:00:00,2003-06-06 00:00:00,2049-01-01 00:00:00,N,ba04e4e2-f0f1-11e0-b437-123139104432,1
BL,2142612,CONCERT/PERFORMANCE FUND MUSIC,MUPF,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,ba0ee014-f0f1-11e0-b437-123139104432,1
BL,2225369,"FAC RES - SCHEUTZ, M. - COGNITIVE SCI",COGS,2007-07-12 00:00:00,2007-07-12 00:00:00,2049-01-01 00:00:00,N,ba193636-f0f1-11e0-b437-123139104432,1
BL,2225681,FAC RES - TSUJIMURA - EALC,EALC,1997-12-09 00:00:00,1997-12-09 00:00:00,2049-01-01 00:00:00,N,ba28018e-f0f1-11e0-b437-123139104432,1
BL,2226310,FAC RES-CALMAN-FINE ARTS,FINS,1991-04-16 00:00:00,1991-04-16 00:00:00,2049-01-01 00:00:00,N,ba32ba8e-f0f1-11e0-b437-123139104432,1
BL,2226689,VANCE-FAC RES-FRENCH/ITALIA,FRIT,1993-05-04 00:00:00,1993-05-04 00:00:00,2049-01-01 00:00:00,N,ba3d096c-f0f1-11e0-b437-123139104432,1
BL,2233226,FAC RES - FELIX-BRASDEFER - SPAN & PORT,SPAN,2003-06-18 00:00:00,2003-06-18 00:00:00,2049-01-01 00:00:00,N,ba479f30-f0f1-11e0-b437-123139104432,1
BL,2235314,FAC RES ROBBIN,SLIS,2000-04-07 00:00:00,2000-04-07 00:00:00,2049-01-01 00:00:00,N,ba5d90d8-f0f1-11e0-b437-123139104432,1
BL,2245708,BONILLA RESEARCH,APHS,2001-10-04 00:00:00,2001-10-04 00:00:00,2049-01-01 00:00:00,N,ba67db92-f0f1-11e0-b437-123139104432,1
BL,2245716,MURRAY RESEARCH,APHS,1995-06-26 00:00:00,1995-06-26 00:00:00,2049-01-01 00:00:00,N,ba7235ce-f0f1-11e0-b437-123139104432,1
BL,2246211,JEANNE JOHNSTON RESEARCH,KINE,2004-03-25 00:00:00,2004-03-25 00:00:00,2049-01-01 00:00:00,N,ba7c91b8-f0f1-11e0-b437-123139104432,1
BL,2246220,ARMBRUSTER RESEARCH,KINE,2010-03-23 00:00:00,2010-03-23 00:00:00,2049-01-01 00:00:00,N,ba90bd3c-f0f1-11e0-b437-123139104432,1
BL,2248734,RADIVOJAC-FACULTY RESEARCH,INFO,2004-05-27 00:00:00,2004-05-27 00:00:00,2049-01-01 00:00:00,N,ba9b1124-f0f1-11e0-b437-123139104432,1
BL,2320400,H1N1,BAP,2009-10-19 00:00:00,2009-10-19 00:00:00,2049-01-01 00:00:00,N,bafd8642-f0f1-11e0-b437-123139104432,1
BL,2320724,EVALUATION-TESTING SERV,BEST,1977-08-10 00:00:00,1997-11-19 00:00:00,2049-01-01 00:00:00,N,bb07dfd4-f0f1-11e0-b437-123139104432,1
BL,2320733,GROUP STU SUPPORT SVS PROG,ACSP,1991-07-01 00:00:00,1991-07-01 00:00:00,2049-01-01 00:00:00,N,bb122dea-f0f1-11e0-b437-123139104432,1
BL,2320778,SUMMER ORIENTATION PROGRAM,ORIE,1991-07-01 00:00:00,1991-07-01 00:00:00,2049-01-01 00:00:00,N,bb1c8524-f0f1-11e0-b437-123139104432,1
BL,2321202,STUDENT INVOLVEMENT FAIR,SSER,2007-05-10 00:00:00,2007-05-10 00:00:00,2049-01-01 00:00:00,N,bb31ec70-f0f1-11e0-b437-123139104432,1
BL,2322510,BIG TEN BURSAR CONFERENCE FY10,BURS,2009-09-18 00:00:00,2009-09-18 00:00:00,2049-01-01 00:00:00,N,bb3c4580-f0f1-11e0-b437-123139104432,1
BL,2322580,SOA PAYROLL,SORG,2003-01-17 00:00:00,2003-01-17 00:00:00,2049-01-01 00:00:00,N,bb469b48-f0f1-11e0-b437-123139104432,1
BL,2323207,BLACK FILM ARCHIVES,CMCL,1988-09-08 00:00:00,1988-09-08 00:00:00,2049-01-01 00:00:00,N,bb50ed64-f0f1-11e0-b437-123139104432,1
BL,2323217,ASIAN AMERICAN STUDIES PROG,ASAM,2003-10-02 00:00:00,2003-10-02 00:00:00,2049-01-01 00:00:00,N,bb5b49a8-f0f1-11e0-b437-123139104432,1
BL,2323360,COLLINS STUDENT HOURLY,LLC,2003-11-24 00:00:00,2003-11-24 00:00:00,2049-01-01 00:00:00,N,bb67ca0c-f0f1-11e0-b437-123139104432,1
BL,2326347,FINS/PAINTING,FINS,2005-05-03 00:00:00,2005-05-03 00:00:00,2049-01-01 00:00:00,N,bb71e500-f0f1-11e0-b437-123139104432,1
BL,2326350,FINS/SCULPTURE,FINS,2005-05-03 00:00:00,2005-05-03 00:00:00,2049-01-01 00:00:00,N,bb7c42ac-f0f1-11e0-b437-123139104432,1
BL,2326353,FINS/FUNDAMENTALS 2-D,FINS,2006-08-28 00:00:00,2006-08-28 00:00:00,2049-01-01 00:00:00,N,bb86d1cc-f0f1-11e0-b437-123139104432,1
BL,2326421,LIBERIAN PROJECTS OPERATIONS,ARVM,2005-03-29 00:00:00,2005-03-29 00:00:00,2049-01-01 00:00:00,N,bb91276c-f0f1-11e0-b437-123139104432,1
BL,2328905,DEPT RESEARCH - LATINO,LATS,2006-02-03 00:00:00,2006-02-03 00:00:00,2049-01-01 00:00:00,N,bb9ce674-f0f1-11e0-b437-123139104432,1
BL,2336304,DEPARTMENT OF BUSINESS LAW AND ETHICS,BLAN,2003-12-10 00:00:00,2003-12-10 00:00:00,2049-01-01 00:00:00,N,bba74858-f0f1-11e0-b437-123139104432,1
BL,2336402,BUSINESS-I CORE PROGRAM,ICOR,2005-05-24 00:00:00,2005-05-24 00:00:00,2049-01-01 00:00:00,N,bbb19e3e-f0f1-11e0-b437-123139104432,1
BL,2340301,HIGH SCHOOL SURVEY STUDENT ENGAGEMENT,CEEP,2005-10-12 00:00:00,2005-10-12 00:00:00,2049-01-01 00:00:00,N,bbbc5022-f0f1-11e0-b437-123139104432,1
BL,2341704,IND CTR FOR EVAL,CEEP,1999-06-24 00:00:00,1999-07-01 00:00:00,2049-01-01 00:00:00,N,bbc69a0a-f0f1-11e0-b437-123139104432,1
BL,2342603,PROMOTIONAL ACTIVITIES-MUSIC,MUAD,2001-12-05 00:00:00,2001-12-05 00:00:00,2049-01-01 00:00:00,N,bbd21aa6-f0f1-11e0-b437-123139104432,1
BL,2342614,BALLET SPECIAL EVENTS,MBAL,2004-07-28 00:00:00,2004-07-28 00:00:00,2049-01-01 00:00:00,N,bbdddb34-f0f1-11e0-b437-123139104432,1
BL,2342627,JSOM FAIRVIEW PROJECT,MUAD,2008-07-13 00:00:00,2008-07-13 00:00:00,2049-01-01 00:00:00,N,bbe8312e-f0f1-11e0-b437-123139104432,1
BL,2342653,MUSICAL ATTRACTIONS,MUMA,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,bbf282be-f0f1-11e0-b437-123139104432,1
